Frame,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24
22,5.956236,3.386118,-0.6884413,-5.488858,9.258368,-0.004805617,0.1158845,0.8530871,2.926752,21.51178,2.108425,0.07572833,-1.443784,-1.813615,0.6076098,-2.64262,4.485705,-1.227949,0.0768901,1.499522,-1.423127,-1.407603,38.26314,-1.49801,-0.5754462
23,8.412372,2.270365,-0.8248696,-3.26094,8.039823,-0.2290411,-1.494952,1.008731,3.890458,22.22063,4.436256,-0.0979897,-1.476111,-1.939116,0.8881409,-1.534784,3.74946,0.3674515,0.9418293,1.789921,-0.5435284,-1.761055,39.1554,-1.742387,-0.9436051
24,9.04475,1.483187,-0.1697098,-4.258358,6.087219,-0.7842028,-1.918943,0.5374199,3.347738,21.64263,4.785885,0.6280307,-3.505104,-1.252887,0.5426994,-3.267866,4.760425,0.6288003,0.9643571,0.02260688,-1.435247,-1.998498,36.12827,-2.596386,0.4437441
25,7.27337,3.685973,-1.154942,-3.098159,8.63444,-0.4925185,-0.3170921,3.269672,2.746192,20.13316,3.235945,2.972276,-3.502915,-0.5838149,-0.3211266,-1.860323,2.655931,0.9716244,0.5482804,0.9570924,-1.07653,-1.082016,34.15447,-0.9739439,1.613724
26,8.526906,4.413093,-2.000091,-3.179944,6.715204,0.3057805,-1.067004,2.699451,3.199733,21.35664,1.985322,-0.648495,-1.08069,-2.240463,0.1670436,-1.15596,1.601362,2.026971,0.7602726,1.337044,-0.8791201,-2.317174,33.22545,-0.6058368,1.082139
27,8.131018,2.892916,-0.9008387,-1.887805,3.955245,1.433865,-0.5300614,-0.2701931,4.621892,23.1276,5.112428,0.883324,-0.9440445,-1.350607,0.2084698,-1.906695,4.254871,2.238661,1.400784,-0.03075915,-1.53204,-0.8129717,34.72474,-1.800854,0.7250275
28,8.729084,0.7070967,-1.259742,-5.911221,8.633173,-2.945172,-2.640566,0.3423956,3.233437,23.01304,1.245727,-0.3581882,-1.139643,-1.425934,-0.4215315,-2.330937,6.001522,-1.50833,-0.7950587,-0.7359803,-1.120094,-1.103753,29.77146,-1.754588,-0.6327407
29,9.010367,1.589401,-0.01453621,-3.880269,7.092542,-0.857357,-3.451656,3.080836,3.478214,24.25354,1.624438,0.9486104,-0.834357,0.4663416,-0.6636258,-2.986317,5.25151,-0.7852093,-1.451595,0.3411159,2.671123,-1.609729,28.69889,-3.985367,-0.6271384
30,8.321286,1.049093,-0.7759992,-1.403836,7.78563,1.292518,-1.865807,2.287248,3.225179,26.68078,2.181193,-2.585729,-1.275893,-0.8311639,-0.9319623,-2.479123,4.766136,-1.502504,-0.6110821,-0.1110651,-0.6373042,-1.686695,27.88703,-2.469316,0.6977254
31,6.672451,-0.3662468,-3.303337,-3.598752,5.531561,0.2110545,-0.8708988,1.82663,4.673498,27.74443,3.022311,-1.080442,0.9807741,0.1727161,-0.004708957,-2.105032,5.025921,1.108351,0.7469899,-1.143071,0.4856602,-1.015783,25.58888,-1.514708,-1.218274
