"Evnt_Time","Evnt_ID","Evnt_Name","Item_Name","Alias_Name","Group_ID","Num_Args","Arg1_Name","Arg1_Value","Arg2_Name","Arg2_Value","Arg3_Name","Arg3_Value","Arg4_Name","Arg4_Value","Arg5_Name","Arg5_Value"
"1548.727","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Images","10","2","Position","2","Image 1","0",,,,,,
"1548.727","29","Timer Event","Presentation_timer","","10","1","Value","0",,,,,,,,
"1548.727","21","Group Change Event","Group Change","","10","1","New Group","12",,,,,,,,
"1548.786","39","Input Transition Off Event","Tray #1","","12","0",,,,,,,,,,
"1556.723","30","Touch Down Event","Bussey Mouse Operant Mode 2 x 1 x low","","12","2","Position","1","Image 1","0",,,,,,
"1556.724","1","Condition Event","S3-Free-image touch=small","","12","0",,,,,,,,,,
"1556.724","3","Output On Event","TrayLight #1","","12","0",,,,,,,,,,
"1556.724","7","Pulse Output Event","Feeder #2","","12","1","Duration","0.3",,,,,,,,
"1556.724","7","Pulse Output Event","Sound_On #1","","12","1","Duration","1",,,,,,,,
"1556.724","34","Whisker - Clear Image by Position","Bussey Mouse Operant Mode 2 x 1 x low","","12","2","Position","1","","-1",,,,,,
"1556.724","34","Whisker - Clear Image by Position","Bussey Mouse Operant Mode 2 x 1 x low","","12","2","Position","2","","-1",,,,,,
"1556.724","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Background","12","2","Position","2","Image 1","0",,,,,,
"1556.724","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Background","12","2","Position","1","Image 1","0",,,,,,
"1556.724","16","Variable Event","_Trial_Counter","","12","1","Value","73",,,,,,,,
"1556.724","16","Variable Event","trial_withinsession_counter","","12","1","Value","13",,,,,,,,
"1556.724","16","Variable Event","SmallRew_free_counter","","12","1","Value","6",,,,,,,,
"1556.724","16","Variable Event","FreeTrials_counter","","12","1","Value","48",,,,,,,,
"1556.724","21","Group Change Event","Group Change","","12","1","New Group","17",,,,,,,,
"1558.348","38","Input Transition On Event","Tray #1","","17","0",,,,,,,,,,
"1558.349","1","Condition Event","Reward Retrieved Free Choice","","17","0",,,,,,,,,,
"1558.349","4","Output Off Event","TrayLight #1","","17","0",,,,,,,,,,
"1558.349","29","Timer Event","ITI_timer","","17","1","Value","0",,,,,,,,
"1558.349","21","Group Change Event","Group Change","","17","1","New Group","21",,,,,,,,
"1559.215","39","Input Transition Off Event","Tray #1","","21","0",,,,,,,,,,
"1559.712","38","Input Transition On Event","Tray #1","","21","0",,,,,,,,,,
"1559.754","39","Input Transition Off Event","Tray #1","","21","0",,,,,,,,,,
"1559.801","38","Input Transition On Event","Tray #1","","21","0",,,,,,,,,,
"1560.529","39","Input Transition Off Event","Tray #1","","21","0",,,,,,,,,,
"1560.54","38","Input Transition On Event","Tray #1","","21","0",,,,,,,,,,
"1560.565","39","Input Transition Off Event","Tray #1","","21","0",,,,,,,,,,
"1560.754","38","Input Transition On Event","Tray #1","","21","0",,,,,,,,,,
"1560.844","39","Input Transition Off Event","Tray #1","","21","0",,,,,,,,,,
"1560.874","38","Input Transition On Event","Tray #1","","21","0",,,,,,,,,,
"1560.89","39","Input Transition Off Event","Tray #1","","21","0",,,,,,,,,,
"1561.686","38","Input Transition On Event","Tray #1","","21","0",,,,,,,,,,
"1561.843","39","Input Transition Off Event","Tray #1","","21","0",,,,,,,,,,
"1566.349","1","Condition Event","ITI (regular)","","21","0",,,,,,,,,,
"1566.349","16","Variable Event","ITI_timer","","21","1","Value","8",,,,,,,,
"1566.349","16","Variable Event","ITI_timer","","21","1","Value","0",,,,,,,,
"1566.349","21","Group Change Event","Group Change","","21","1","New Group","2",,,,,,,,
"1566.349","1","Condition Event","If not End of Expt","","2","0",,,,,,,,,,
"1566.349","3","Output On Event","TrayLight #1","","2","0",,,,,,,,,,
"1566.349","7","Pulse Output Event","TTL #1","","2","1","Duration","1",,,,,,,,
"1566.349","1","Condition Event","If not End of Expt., turns on TrayLight","","2","0",,,,,,,,,,
"1566.349","3","Output On Event","TrayLight #1","","2","0",,,,,,,,,,
"1566.349","7","Pulse Output Event","TTL #1","","2","1","Duration","1",,,,,,,,
"1566.349","21","Group Change Event","Group Change","","2","1","New Group","3",,,,,,,,
"1566.349","1","Condition Event","Define Session3","","3","0",,,,,,,,,,
"1566.349","16","Variable Event","Session3","","3","1","Value","1",,,,,,,,
"1566.349","16","Variable Event","Session1","","3","1","Value","0",,,,,,,,
"1566.349","16","Variable Event","Session2","","3","1","Value","0",,,,,,,,
"1566.349","16","Variable Event","Session4","","3","1","Value","0",,,,,,,,
"1566.349","16","Variable Event","Session5","","3","1","Value","0",,,,,,,,
"1566.349","21","Group Change Event","Group Change","","3","1","New Group","4",,,,,,,,
"1566.349","1","Condition Event","Are we in Free_Choice Trials","","4","0",,,,,,,,,,
"1566.349","16","Variable Event","FreeChoice_trials","","4","1","Value","1",,,,,,,,
"1566.349","21","Group Change Event","Group Change","","4","1","New Group","10",,,,,,,,
"1567.701","38","Input Transition On Event","Tray #1","","10","0",,,,,,,,,,
"1567.702","1","Condition Event","Free-Choice Trials begin","","10","0",,,,,,,,,,
"1567.702","4","Output Off Event","TrayLight #1","","10","0",,,,,,,,,,
"1567.702","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Images","10","2","Position","1","Image 1","0",,,,,,
"1567.702","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Images","10","2","Position","2","Image 1","0",,,,,,
"1567.702","29","Timer Event","Presentation_timer","","10","1","Value","0",,,,,,,,
"1567.702","21","Group Change Event","Group Change","","10","1","New Group","12",,,,,,,,
"1568.029","39","Input Transition Off Event","Tray #1","","12","0",,,,,,,,,,
"1575.347","30","Touch Down Event","Bussey Mouse Operant Mode 2 x 1 x low","","12","2","Position","2","Image 1","0",,,,,,
"1575.348","1","Condition Event","S3-Free-image touch=big","","12","0",,,,,,,,,,
"1575.348","3","Output On Event","TrayLight #1","","12","0",,,,,,,,,,
"1575.348","7","Pulse Output Event","Feeder #2","","12","1","Duration","1.2",,,,,,,,
"1575.348","7","Pulse Output Event","Sound_On #1","","12","1","Duration","1",,,,,,,,
"1575.348","34","Whisker - Clear Image by Position","Bussey Mouse Operant Mode 2 x 1 x low","","12","2","Position","2","","-1",,,,,,
"1575.348","34","Whisker - Clear Image by Position","Bussey Mouse Operant Mode 2 x 1 x low","","12","2","Position","1","","-1",,,,,,
"1575.348","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Background","12","2","Position","1","Image 1","0",,,,,,
"1575.348","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Background","12","2","Position","2","Image 1","0",,,,,,
"1575.348","16","Variable Event","shock_on_off","","12","1","Value","0",,,,,,,,
"1575.348","19","List Change - Next Value","S4_75_freechoice_shock","","12","2","Index","3","Value","1",,,,,,
"1575.348","16","Variable Event","_Trial_Counter","","12","1","Value","74",,,,,,,,
