cell_name,mannwhitneyu_Shock_Ocurred_Choice_Time_s_True_106_minus10_to_minus5_0_to_3,mannwhitneyu_Block_Reward_Size_Choice_Time_s_1dot0_Large_106_minus10_to_minus5_minus3_to_0,mannwhitneyu_Block_Reward_Size_Choice_Time_s_1dot0_Small_106_minus10_to_minus5_minus3_to_0,mannwhitneyu_Block_Reward_Size_Choice_Time_s_2dot0_Large_106_minus10_to_minus5_minus3_to_0,mannwhitneyu_Block_Reward_Size_Choice_Time_s_2dot0_Small_106_minus10_to_minus5_minus3_to_0,mannwhitneyu_Block_Reward_Size_Choice_Time_s_3dot0_Large_106_minus10_to_minus5_minus3_to_0,mannwhitneyu_Block_Reward_Size_Choice_Time_s_3dot0_Small_106_minus10_to_minus5_minus3_to_0
1_C01,-,Neutral,+,+,Neutral,+,-
1_C02,-,-,Neutral,-,-,-,Neutral
1_C05,-,Neutral,+,Neutral,Neutral,Neutral,Neutral
1_C08,+,Neutral,Neutral,Neutral,Neutral,-,-
1_C10,-,-,-,Neutral,Neutral,Neutral,-
1_C11,-,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1_C12,-,-,Neutral,Neutral,Neutral,-,+
1_C13,-,+,Neutral,Neutral,+,-,-
1_C14,-,-,Neutral,-,+,Neutral,Neutral
1_C16,-,+,+,+,+,+,Neutral
1_C19,+,+,+,Neutral,+,+,+
1_C20,+,+,+,+,+,+,+
1_C21,-,-,-,Neutral,Neutral,-,Neutral
1_C22,+,+,+,+,+,Neutral,Neutral
1_C23,-,-,-,Neutral,+,+,Neutral
1_C24,-,+,-,Neutral,+,Neutral,+
1_C25,-,-,Neutral,-,-,-,Neutral
1_C26,-,-,Neutral,Neutral,+,Neutral,Neutral
1_C28,-,Neutral,Neutral,-,Neutral,Neutral,Neutral
1_C29,-,-,Neutral,Neutral,Neutral,+,-
1_C30,-,-,Neutral,-,Neutral,Neutral,Neutral
1_C32,-,Neutral,+,-,+,-,+
1_C33,-,-,-,-,Neutral,-,Neutral
3_C03,-,+,+,-,Neutral,Neutral,Neutral
3_C04,+,-,Neutral,+,Neutral,Neutral,Neutral
3_C05,-,+,Neutral,+,Neutral,-,-
3_C07,-,-,+,-,Neutral,Neutral,Neutral
11_C03,-,Neutral,Neutral,-,-,-,+
11_C04,+,-,Neutral,Neutral,Neutral,Neutral,+
13_C02,-,+,+,Neutral,Neutral,Neutral,Neutral
13_C03,-,-,Neutral,Neutral,Neutral,-,Neutral
13_C09,+,+,Neutral,+,-,+,+
8_C01,-,Neutral,Neutral,Neutral,Neutral,-,-
8_C03,+,-,Neutral,+,+,Neutral,Neutral
8_C05,+,Neutral,+,-,Neutral,+,+
8_C06,-,Neutral,Neutral,Neutral,Neutral,Neutral,-
8_C08,-,+,Neutral,Neutral,Neutral,Neutral,Neutral
8_C10,-,Neutral,Neutral,Neutral,Neutral,Neutral,-
8_C12,+,-,Neutral,Neutral,+,Neutral,+
8_C13,+,+,Neutral,+,-,Neutral,+
9_C08,+,Neutral,-,Neutral,-,+,Neutral
